currency,observations,latest_spot,missing_spot_pct,staleness_spot_days,latest_reer,missing_reer_pct,staleness_reer_days,latest_policy_rate,missing_policy_rate_pct,staleness_policy_rate_days,status
AUD,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0,14,OK
BRL,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0,14,OK
CAD,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0,14,OK
CHF,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0,14,OK
CLP,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0.06578947368,14,OK
CNY,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0.03157894737,14,OK
COP,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0.007894736842,14,OK
CZK,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0.02894736842,14,OK
DKK,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0,14,OK
EUR,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0.1263157895,14,OK
GBP,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0,14,OK
HKD,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0.1157894737,14,OK
HUF,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0,14,OK
IDR,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0.3315789474,14,OK
ILS,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0,14,OK
INR,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0,14,OK
JPY,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0.2894736842,14,OK
KRW,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0.1368421053,14,OK
MXN,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0.1210526316,14,OK
MYR,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0.02631578947,14,OK
NOK,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0,14,OK
NZD,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0,14,OK
PHP,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0,14,OK
PLN,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0,14,OK
SEK,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0,14,OK
THB,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0.1684210526,14,OK
TRY,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0.2236842105,14,OK
USD,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0,14,OK
ZAR,380,2026-08-31,0,14,2026-07-31,0.002631578947,45,2026-08-31,0,14,OK
