date,factor,currency,side,rank_within_leg,signal,weight,currency_return
1995-02-28,carry,ZAR,long,1,13,0.2,-0.0177007033
1995-02-28,carry,ILS,long,2,17,0.2,0.007200974672
1995-02-28,carry,HUF,long,3,25,0.2,0.0006324908993
1995-02-28,carry,PLN,long,4,31,0.2,0.02092646846
1995-02-28,carry,BRL,long,5,46.14,0.2,0.016322707
1995-02-28,carry,JPY,short,1,1.75,-0.2,0.01058523215
1995-02-28,carry,CHF,short,2,3.5,-0.2,0.01768423066
1995-02-28,carry,NOK,short,3,4.75,-0.2,0.01577311509
1995-02-28,carry,DKK,short,4,5.5,-0.2,0.01981592114
1995-02-28,carry,USD,short,5,5.5,-0.2,-0.005723491071
1995-02-28,dollar,AUD,long,1,,0.0625,-0.03284857311
1995-02-28,dollar,BRL,long,2,,0.0625,0.016322707
1995-02-28,dollar,CAD,long,3,,0.0625,0.0173909901
1995-02-28,dollar,CHF,long,4,,0.0625,0.01768423066
1995-02-28,dollar,DKK,long,5,,0.0625,0.01981592114
1995-02-28,dollar,GBP,long,6,,0.0625,-0.01353068958
1995-02-28,dollar,HUF,long,7,,0.0625,0.0006324908993
1995-02-28,dollar,ILS,long,8,,0.0625,0.007200974672
1995-02-28,dollar,INR,long,9,,0.0625,-0.001819503328
1995-02-28,dollar,JPY,long,10,,0.0625,0.01058523215
1995-02-28,dollar,NOK,long,11,,0.0625,0.01577311509
1995-02-28,dollar,NZD,long,12,,0.0625,-0.01203242216
1995-02-28,dollar,PHP,long,13,,0.0625,-0.04889389875
1995-02-28,dollar,PLN,long,14,,0.0625,0.02092646846
1995-02-28,dollar,SEK,long,15,,0.0625,0.006217151124
1995-02-28,dollar,ZAR,long,16,,0.0625,-0.0177007033
1995-02-28,dollar,USD,short,1,,-1,-0.005723491071
1995-03-31,carry,ILS,long,1,16.3,0.2,-0.003114309818
1995-03-31,carry,PHP,long,2,25,0.2,-0.01244131121
1995-03-31,carry,HUF,long,3,28,0.2,-0.06906049447
1995-03-31,carry,PLN,long,4,34,0.2,0.0121376001
1995-03-31,carry,BRL,long,5,56.28,0.2,-0.03249621987
1995-03-31,carry,JPY,short,1,1.75,-0.2,0.08279868029
1995-03-31,carry,CHF,short,2,3.5,-0.2,0.06337819715
1995-03-31,carry,NOK,short,3,4.75,-0.2,0.0258340963
1995-03-31,carry,DKK,short,4,5.5,-0.2,0.03966109628
1995-03-31,carry,USD,short,5,6,-0.2,-0.01841358512
1995-03-31,dollar,AUD,long,1,,0.0625,-0.03179836163
1995-03-31,dollar,BRL,long,2,,0.0625,-0.03249621987
1995-03-31,dollar,CAD,long,3,,0.0625,-0.02632134012
1995-03-31,dollar,CHF,long,4,,0.0625,0.06337819715
1995-03-31,dollar,DKK,long,5,,0.0625,0.03966109628
1995-03-31,dollar,GBP,long,6,,0.0625,0.00465913992
1995-03-31,dollar,HUF,long,7,,0.0625,-0.06906049447
1995-03-31,dollar,ILS,long,8,,0.0625,-0.003114309818
1995-03-31,dollar,INR,long,9,,0.0625,-0.01357268145
1995-03-31,dollar,JPY,long,10,,0.0625,0.08279868029
1995-03-31,dollar,NOK,long,11,,0.0625,0.0258340963
1995-03-31,dollar,NZD,long,12,,0.0625,0.0107148766
1995-03-31,dollar,PHP,long,13,,0.0625,-0.01244131121
1995-03-31,dollar,PLN,long,14,,0.0625,0.0121376001
1995-03-31,dollar,SEK,long,15,,0.0625,-0.02202881285
1995-03-31,dollar,ZAR,long,16,,0.0625,-0.009936570108
1995-03-31,dollar,USD,short,1,,-1,-0.01841358512
1995-04-30,carry,ZAR,long,1,14,0.2,-0.01232163839
1995-04-30,carry,ILS,long,2,14.8,0.2,-0.00268968609
1995-04-30,carry,HUF,long,3,28,0.2,-0.005513180204
1995-04-30,carry,PLN,long,4,34,0.2,0.01299108799
1995-04-30,carry,BRL,long,5,65.73,0.2,0.02304958712
1995-04-30,carry,JPY,short,1,1.75,-0.2,0.02062302607
1995-04-30,carry,CHF,short,2,3,-0.2,-0.01646366169
1995-04-30,carry,NOK,short,3,4.75,-0.2,-0.01817850744
1995-04-30,carry,USD,short,4,6,-0.2,-0.01238429561
1995-04-30,carry,GBP,short,5,6.625,-0.2,-0.01310424631
1995-04-30,dollar,AUD,long,1,,0.0625,-0.007011477809
1995-04-30,dollar,BRL,long,2,,0.0625,0.02304958712
1995-04-30,dollar,CAD,long,3,,0.0625,0.01812493175
1995-04-30,dollar,CHF,long,4,,0.0625,-0.01646366169
1995-04-30,dollar,DKK,long,5,,0.0625,-0.003041719698
1995-04-30,dollar,GBP,long,6,,0.0625,-0.01310424631
1995-04-30,dollar,HUF,long,7,,0.0625,-0.005513180204
1995-04-30,dollar,ILS,long,8,,0.0625,-0.00268968609
1995-04-30,dollar,INR,long,9,,0.0625,-0.008020427946
