date,currency,spot,reer,policy_rate,usd_policy_rate,market,factor_eligible
1995-01-31,AUD,1.319777,91.76,7.5,5.5,DM,True
1995-02-28,AUD,1.358328,89.03,7.5,6,DM,True
1995-03-31,AUD,1.378353,85.64,7.5,6,DM,True
1995-04-30,AUD,1.372682,83.66,7.5,6,DM,True
1995-05-31,AUD,1.401142,83.29,7.5,6,DM,True
1995-06-30,AUD,1.406073,82.39,7.5,6,DM,True
1995-07-31,AUD,1.355928,83.96,7.5,5.75,DM,True
1995-08-31,AUD,1.327495,88.2,7.5,5.75,DM,True
1995-09-30,AUD,1.324148,91.03,7.5,5.75,DM,True
1995-10-31,AUD,1.31493,91.01,7.5,5.75,DM,True
1995-11-30,AUD,1.343188,89.97,7.5,5.75,DM,True
1995-12-31,AUD,1.343187,89.83,7.5,5.5,DM,True
1996-01-31,AUD,1.343731,90.36,7.5,5.25,DM,True
1996-02-29,AUD,1.307698,91.79,7.5,5.25,DM,True
1996-03-31,AUD,1.278769,93.72,7.5,5.25,DM,True
1996-04-30,AUD,1.269839,95.81,7.5,5.25,DM,True
1996-05-31,AUD,1.252037,97.4,7.5,5.25,DM,True
1996-06-30,AUD,1.267263,97.2,7.5,5.25,DM,True
1996-07-31,AUD,1.291657,96.78,7,5.25,DM,True
1996-08-31,AUD,1.265337,95.39,7,5.25,DM,True
1996-09-30,AUD,1.261358,96.68,7,5.25,DM,True
1996-10-31,AUD,1.262304,96.87,7,5.25,DM,True
1996-11-30,AUD,1.2329,96.87,6.5,5.25,DM,True
1996-12-31,AUD,1.255812,97.72,6,5.25,DM,True
1997-01-31,AUD,1.312686,96.33,6,5.25,DM,True
1997-02-28,AUD,1.288993,96.65,6,5.25,DM,True
1997-03-31,AUD,1.279592,99.65,6,5.5,DM,True
1997-04-30,AUD,1.279099,98.39,6,5.5,DM,True
1997-05-31,AUD,1.313204,96.45,5.5,5.5,DM,True
1997-06-30,AUD,1.34049,93.25,5.5,5.5,DM,True
1997-07-31,AUD,1.344622,92.86,5,5.5,DM,True
1997-08-31,AUD,1.361473,94.4,5,5.5,DM,True
1997-09-30,AUD,1.386002,92.42,5,5.5,DM,True
1997-10-31,AUD,1.425519,92.55,5,5.5,DM,True
1997-11-30,AUD,1.463481,90.23,5,5.5,DM,True
1997-12-31,AUD,1.531393,90.01,5,5.5,DM,True
1998-01-31,AUD,1.473188,92.11,5,5.5,DM,True
1998-02-28,AUD,1.474936,92.61,5,5.5,DM,True
1998-03-31,AUD,1.508289,91.82,5,5.5,DM,True
1998-04-30,AUD,1.536801,89.18,5,5.5,DM,True
1998-05-31,AUD,1.600765,86.8,5,5.5,DM,True
1998-06-30,AUD,1.619427,85.08,5,5.5,DM,True
1998-07-31,AUD,1.645276,87.18,5,5.5,DM,True
1998-08-31,AUD,1.754072,83.66,5,5.5,DM,True
1998-09-30,AUD,1.681518,81.08,5,5.25,DM,True
1998-10-31,AUD,1.603853,82.16,5,5,DM,True
1998-11-30,AUD,1.581028,84.46,5,4.75,DM,True
1998-12-31,AUD,1.627872,81.91,4.75,4.75,DM,True
1999-01-31,AUD,1.588809,83.18,4.75,4.75,DM,True
1999-02-28,AUD,1.617263,85.38,4.75,4.75,DM,True
1999-03-31,AUD,1.588159,85.33,4.75,4.75,DM,True
1999-04-30,AUD,1.517222,86.69,4.75,4.75,DM,True
1999-05-31,AUD,1.537299,89.83,4.75,4.75,DM,True
